Weight_Percent,Refractive_Index
100,1.47399
99,1.47234
98,1.47071
97,1.46909
96,1.46752
95,1.46597
94,1.46443
93,1.46290
92,1.46139
91,1.45989
90,1.45839
89,1.45689
88,1.45539
87,1.45389
86,1.45237
85,1.45085
84,1.44930
83,1.44770
82,1.44612
81,1.44450
80,1.44290
79,1.44135
78,1.43982
77,1.43832
76,1.43683
75,1.43534
74,1.43385
73,1.43236
72,1.43087
71,1.42938
70,1.42789
69,1.42640
68,1.42491
67,1.42342
66,1.42193
65,1.42044
64,1.41895
63,1.41746
62,1.41597
61,1.41448
60,1.41299
59,1.41150
58,1.41001
57,1.40852
56,1.40703
55,1.40554
54,1.40405
53,1.40256
52,1.40107
51,1.39958
50,1.39809
49,1.39660
48,1.39513
47,1.39368
46,1.39227
45,1.39089
44,1.38953
43,1.38818
42,1.38683
41,1.38548
40,1.38413
39,1.38278
38,1.38143
37,1.38008
36,1.37874
35,1.37740
34,1.37606
33,1.37472
32,1.37338
31,1.37204
30,1.37070
29,1.36936
28,1.36802
27,1.36669
26,1.36536
25,1.36404
24,1.36272
23,1.36141
22,1.36010
21,1.35879
20,1.35749
19,1.35619
18,1.35490
17,1.35361
16,1.35233
15,1.35106
14,1.34980
13,1.34834
12,1.34729
11,1.34604
10,1.34481
9,1.34359
8,1.34238
7,1.34118
6,1.33999
5,1.33880
4,1.33762
3,1.33645
2,1.33530
1,1.33416
